name,description,ideas,,sources
microkinésithérapie,"les tissus corporels mémoriseraient les agressions, qui modifieraient la vitalité tissulaire. par technique palpatoire le praticien ressentirait ces agressions et parviendrait à faciliter l’auto-guérissons par mobilisation et stimulus du tissus. ","la blouse blanche,c'est jean-claude, depuis la nuit des temps,évolution,traditionalisme,exotisme,un cocktail créatif,d'origine naturelle,popularité,on se fait une visio?,direction le cab',influenceur,stages,en extérieur,enroulement tissulaire spiralé transversal",,https://www.microkinefrance.org/la-microkinesitherapie/presentation/
fasciathérapie,"cette technique repose sur les fascias qui sont une sorte d’enveloppe qui recouvre les structures anatomiques. par des techniques de thérapie manuelle, le praticien ressentirait les fascias et pourrait restaurer leur mobilité, à des fins multiples.",#,,"https://fr.wikipedia.org/wiki/Fascia , https://fasciafrance.fr/fascia-la-fasciatherapie/"
biokinergie,cette technique se base sur l’enroulement tissulaire spiralé transversal qui formerait des perturbations d’ordre énergétique. cette technique serait au croisement d’autres thérapies déjà existantes. le thérapeute utilise ses mains et son ressenti à des fins thérapeutiques diverses.,#,,"https://biokinergie.com/biokinergie/ , Ordre MK. Tableau des techniques illusoires. [Internet]. Disponible: https://www.ordremk.fr/wp-content/uploads/2023/09/tableau_techniques_illusoires_20230928.pdf
"
reiki,"l’objectif de cette technique d'origine japonaise serait de soulager les souffrances et retrouver une paix intérieure. la technique consiste à appliquer la paume des mains sur des parties du corps, le prétitien serait un canal d'énergie qui viserait à restaurer la foce vitale.",#,,"https://fr.wikipedia.org/wiki/Reiki , Ordre MK. Tableau des techniques illusoires. [Internet]. Disponible: https://www.ordremk.fr/wp-content/uploads/2023/09/tableau_techniques_illusoires_20230928.pdf , https://www.le-reiki.org/qui-est-la-federation-francaise-de-reiki-traditionnel , https://www.miviludes.interieur.gouv.fr/quest-ce-quune-d%C3%A9rive-sectaire/o%C3%B9-la-d%C3%A9celer/les-d%C3%A9rives-sectaires-dans-le-domaine-de-la-sant%C3%A9/quell?fbclid=IwAR2Ql17mY8_Gs8SaOPEbXqfVd86fXWTo3H33N6vwXtG4L-Fq_6LbiIwd65Q
"
"coach ""regenere""","cette technique a pris de l’ampleur grâce aux réseaux sociaux, on retrouve des vidéos youtube, mais également des produits dérivés. son inventeur est à l'origine de plusieurs therapies. pour eux les maladies découleraient de l’alimentation, ils prodiguent donc des conseils nutritionnels et proposent également des stages d’immersion. leurs prétentions sont de guérir toutes pathologies, lourdes ou légères.  ",#,,"https://www.rgnr.fr/stage-rgnr.html , Ordre MK. Tableau des techniques illusoires. [Internet]. Disponible: https://www.ordremk.fr/wp-content/uploads/2023/09/tableau_techniques_illusoires_20230928.pdf

"
technique de l'arc en ciel,"son inventeur est à l‘origine de plusieurs thérapies, il diffuse sur le réseaux sociaux. l’objectif est de retrouver une paix intérieure en s’appuyant sur le langage des couleurs. ils allient pressions thérapeutiques, respirations et visualisation des douleurs, des personnes défuntes, le tout relié par un arc-en-ciel. ",#,,Ordre MK. Tableau des techniques illusoires. [Internet]. Disponible: https://www.ordremk.fr/wp-content/uploads/2023/09/tableau_techniques_illusoires_20230928.pdf
ostéopathie viscérale ,par palpation et mobilisation le thérapeute traiterait un large panel de dysfonctions des organes abdominaux grâce à son ressenti. ,#,,"Ordre MK. Tableau des techniques illusoires. [Internet]. Disponible: https://www.ordremk.fr/wp-content/uploads/2023/09/tableau_techniques_illusoires_20230928.pdf
"
ostéopathie crânniene,"inventé par sutherland todd, par apposition des mains le thérapeute serait en mesure de réguler le mouvement respiratoire primaire. l’objectif est d’améliorer l’état de santé sans forcément cibler une pathologie spécifique. on retrouve deux approches dans cette thérapie, une qui tend à valider scientifiquement ces concepts et l’autre fait appel à des concepts mystiques.   ",#,,Ordre MK. Tableau des techniques illusoires. [Internet]. Disponible: https://www.ordremk.fr/wp-content/uploads/2023/09/tableau_techniques_illusoires_20230928.pdf
la teqi (thérapie energétique et quantique intégrative),"technique crée par patrick giron, qui a puisé sa thérapie auprès d’autres thérapies déjà existantes. la technique trouverait une solution pour tous les problèmes et tous les âges. Les séances peuvent se faire en cabinet, mais également par visio ou encore par courrier postal pour ceux qui n’ont pas d’accès à internet. en plus des séances, un « coaching personnel » est également proposé. ",#,,"Giron Patrick. Soins et thérapies énergétiques • Renaître à soi-même. [Internet]. Disponible en: https://renaitreasoimeme.fr/.
"
transmission vibratoire,"inventé par pascal lefevre, la thérapie serait l’exploitation de la possibilité qui nous est offerte d’utiliser « l’énergie de vie » par la réception volontaire, de façon consciente et accrue. La page internet indique le nombre de personnes qui aurait fait appel à cette thérapie. ",#,,https://www.transmissionvibratoire.com/presentation/
kinésiologie appliquée et kinésiologie énergétique,la technique se base sur des tests musculaires énergétiques qui permettraient d’évaluer de potentielles perturbations. la thérapie solutionnerait ses troubles par la stimulation de points anatomiques précis.,#,,Ordre MK. Tableau des techniques illusoires. [Internet]. Disponible: https://www.ordremk.fr/wp-content/uploads/2023/09/tableau_techniques_illusoires_20230928.pdf
emotional freedom techniques,technique qui libérerait des blocages émotionnels et des émotions négatives par stimulation des méridiens d’acuponcture en détectant des anomalies vibratoires.,#,,Ordre MK. Tableau des techniques illusoires. [Internet]. Disponible: https://www.ordremk.fr/wp-content/uploads/2023/09/tableau_techniques_illusoires_20230928.pdf
décodage biologique,pour cette thérapie les maladies et les douleurs seraient les manifestations d’un mal psychique. le praticien va chercher dans la vie du patients des évènements qui seraient la cause de sa maladie ou de ses douleurs.,#,,Ordre MK. Tableau des techniques illusoires. [Internet]. Disponible: https://www.ordremk.fr/wp-content/uploads/2023/09/tableau_techniques_illusoires_20230928.pdf
sophrologie,"pratique s’appuyant sur des exercices de relaxation, associé à la respiration et des évocations positives. elle a pour vocation de soulager un grand nombre de troubles, et s’adresse à un public très larges.",#,,Ordre MK. Tableau des techniques illusoires. [Internet]. Disponible: https://www.ordremk.fr/wp-content/uploads/2023/09/tableau_techniques_illusoires_20230928.pdf
ventouso-thérapie,"technique tellement anciennes qu’on a du mal à dater son origine. les premières traces des ventouses remonteraient à l’égypte antique (-1550 av JC). la technique consiste à appliquer des ventouses sur la peau qui par une pression négative entraine un phénomène de succion. celle-ci peut être associé à un mouvement ou non. le principe de la technique est resté inchangé malgré les siècles, cependant le matériel avec lequel est fait la ventouse a évolué avec le temps.  ",#,,"https://fr.wikipedia.org/wiki/Ventouse_(médecine) , https://www.ncbi.nlm.nih.gov/books/NBK538253/ , https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3000376/ , https://www.soinsparventouses.fr/

"
,,#,,
,,#,,
,,#,,
,,#,,
,,#,,
